,There wasn't anything in this world.,There wasn't anything to see in this world.,There was much to see in this world.,There wasn't much of a world.,There we stood against the world.,There we rode against the world.,There we were standing in the world.,There I said I hadn't seen the world.,There I stood thinking about the world.,There won't really be anyone left in this world.,There won't really be too much in this world.,There won't really be anyone left to see the world.,There won't be anyone left in the world.,There wasn't much left in the world.,There wasn't anything left in the world.,There was something left in the world.,There wasn't anything left in this world.,There won't be anyone here in the world.
There wasn't anything in this world.,0.0,0.11978294846078574,0.5103324334034949,0.24030798023970235,0.588816480594102,0.6029715178057271,0.6318559588672397,0.4861199048389455,0.6215121060804252,0.5512029508702805,0.525719728723392,0.5290865990914762,0.5354216278688765,0.2742721249601625,0.13648076240106155,0.41467854513929847,0.11695279693628557,0.4436108109816024
There wasn't anything to see in this world.,0.11978294846078574,0.0,0.43000633815652,0.32205466704313224,0.6526961119313248,0.6954472902077691,0.6729367585317292,0.41044760025870364,0.6499931504783698,0.5639246384983461,0.5800685087794062,0.43960277203760756,0.5527990100934498,0.3465524066777378,0.2161170241394017,0.49866279982834993,0.1914422580902162,0.46822908946643427
There was much to see in this world.,0.5103324334034949,0.43000633815652,4.440892098500626e-16,0.39563955049386956,0.5602177477827639,0.5252650391400316,0.4619971088591295,0.5137887434731465,0.5004183214770723,0.6642254483697614,0.5208901447718371,0.5473569680248103,0.7008968405413525,0.4556315645125427,0.5541137553955258,0.41483432338556747,0.5395553851425393,0.6770105141240812
There wasn't much of a world.,0.24030798023970235,0.32205466704313224,0.39563955049386956,2.220446049250313e-16,0.46731648446277907,0.49068836941785043,0.5108014384833771,0.4590397626301975,0.5244618227324689,0.564323889479014,0.5403808172072195,0.49626738955941274,0.5393133614418233,0.20695185514467695,0.23486365509538354,0.338776922335574,0.26661622201207447,0.5200381350524272
There we stood against the world.,0.588816480594102,0.6526961119313248,0.5602177477827639,0.46731648446277907,-4.440892098500626e-16,0.25319888448077044,0.22172245976759708,0.5863065231268144,0.38913441890754674,0.6787213717402634,0.7783356306576462,0.6147631346742454,0.6407882208953335,0.5111094692715321,0.5444455184376926,0.42061215013419617,0.5701992277479541,0.6687095555810055
There we rode against the world.,0.6029715178057271,0.6954472902077691,0.5252650391400316,0.49068836941785043,0.25319888448077044,0.0,0.3575549869678736,0.5938604569870853,0.5059764944396947,0.6987734783143668,0.721733010880838,0.6446822698377305,0.6685244904187684,0.5474448515095427,0.5926773357866425,0.46774793633619416,0.6199364876646155,0.6974499125186109
There we were standing in the world.,0.6318559588672397,0.6729367585317292,0.4619971088591295,0.5108014384833771,0.22172245976759708,0.3575549869678736,-4.440892098500626e-16,0.5821979189251414,0.3205300527004302,0.7209326316709308,0.8297541361823287,0.6569752068002355,0.7011408731996593,0.6038068491529309,0.6273486495855481,0.4072021258377666,0.6466805403116963,0.7037061144340988
There I said I hadn't seen the world.,0.4861199048389455,0.41044760025870364,0.5137887434731465,0.4590397626301975,0.5863065231268144,0.5938604569870853,0.5821979189251414,-4.440892098500626e-16,0.4611873271955951,0.6501076063621503,0.7339666496027047,0.5119974033713006,0.6139326847123845,0.5820683721323268,0.5299729698645232,0.5705012945331028,0.5434015843755177,0.5572245680811998
There I stood thinking about the world.,0.6215121060804252,0.6499931504783698,0.5004183214770723,0.5244618227324689,0.38913441890754674,0.5059764944396947,0.3205300527004302,0.4611873271955951,0.0,0.6906983556001516,0.7291763024831288,0.6245324358650383,0.6885360926207775,0.6336743470941456,0.6507483088355797,0.4619731519694301,0.6478578720576464,0.6647675595822193
There won't really be anyone left in this world.,0.5512029508702805,0.5639246384983461,0.6642254483697614,0.564323889479014,0.6787213717402634,0.6987734783143668,0.7209326316709308,0.6501076063621503,0.6906983556001516,2.220446049250313e-16,0.4251817535878243,0.09002766590807221,0.03401238950289376,0.4065296280895203,0.40111270814389177,0.451868194507407,0.3770284446944324,0.16585751063800502
There won't really be too much in this world.,0.525719728723392,0.5800685087794062,0.5208901447718371,0.5403808172072195,0.7783356306576462,0.721733010880838,0.8297541361823287,0.7339666496027047,0.7291763024831288,0.4251817535878243,-2.220446049250313e-16,0.4248210508691799,0.45861600847950146,0.47034160291154636,0.5475607589880085,0.6405799887046413,0.5089853712267484,0.43135498034918407
There won't really be anyone left to see the world.,0.5290865990914762,0.43960277203760756,0.5473569680248103,0.49626738955941274,0.6147631346742454,0.6446822698377305,0.6569752068002355,0.5119974033713006,0.6245324358650383,0.09002766590807221,0.4248210508691799,1.1102230246251565e-16,0.09849119299835729,0.4032180011492723,0.39302998120679244,0.43620077471365815,0.3834835898957769,0.20861365095646245
There won't be anyone left in the world.,0.5354216278688765,0.5527990100934498,0.7008968405413525,0.5393133614418233,0.6407882208953335,0.6685244904187684,0.7011408731996593,0.6139326847123845,0.6885360926207775,0.03401238950289376,0.45861600847950146,0.09849119299835729,-2.220446049250313e-16,0.39083051942814984,0.3667568304274582,0.42664888485646,0.3696093026492139,0.1430590534322176
There wasn't much left in the world.,0.2742721249601625,0.3465524066777378,0.4556315645125427,0.20695185514467695,0.5111094692715321,0.5474448515095427,0.6038068491529309,0.5820683721323268,0.6336743470941456,0.4065296280895203,0.47034160291154636,0.4032180011492723,0.39083051942814984,4.440892098500626e-16,0.08147460366903658,0.17493049565352314,0.10447139677611217,0.560136095174453
There wasn't anything left in the world.,0.13648076240106155,0.2161170241394017,0.5541137553955258,0.23486365509538354,0.5444455184376926,0.5926773357866425,0.6273486495855481,0.5299729698645232,0.6507483088355797,0.40111270814389177,0.5475607589880085,0.39302998120679244,0.3667568304274582,0.08147460366903658,-2.220446049250313e-16,0.20460631409934427,0.01994183966300711,0.48586562864194505
There was something left in the world.,0.41467854513929847,0.49866279982834993,0.41483432338556747,0.338776922335574,0.42061215013419617,0.46774793633619416,0.4072021258377666,0.5705012945331028,0.4619731519694301,0.451868194507407,0.6405799887046413,0.43620077471365815,0.42664888485646,0.17493049565352314,0.20460631409934427,1.1102230246251565e-16,0.23154781430759597,0.6350808753188146
There wasn't anything left in this world.,0.11695279693628557,0.1914422580902162,0.5395553851425393,0.26661622201207447,0.5701992277479541,0.6199364876646155,0.6466805403116963,0.5434015843755177,0.6478578720576464,0.3770284446944324,0.5089853712267484,0.3834835898957769,0.3696093026492139,0.10447139677611217,0.01994183966300711,0.23154781430759597,2.220446049250313e-16,0.46362419052441994
There won't be anyone here in the world.,0.4436108109816024,0.46822908946643427,0.6770105141240812,0.5200381350524272,0.6687095555810055,0.6974499125186109,0.7037061144340988,0.5572245680811998,0.6647675595822193,0.16585751063800502,0.43135498034918407,0.20861365095646245,0.1430590534322176,0.560136095174453,0.48586562864194505,0.6350808753188146,0.46362419052441994,-2.220446049250313e-16
