,This couldn't possibly work.,This can't work.,This will never work.,This might not really work.,This computer doesn't work.,This couldn't really work.,This just might work.,This won't fail to work.,This won't really work.,This cat is doing some work.,This wouldn't really work.,This wasn't the right way to work.,This was a really good work.,This wasn't my greatest work.,This wouldn't quite work.,This couldn't help them work.,This was my greatest work.,This wasn't the dog's work.,This couldn't have been my own work.,This was an excellentl piece of work.,This couldn't quite work.,This looks like it will not work.,This doesn't yet work.
This couldn't possibly work.,0.0,0.2365796591372675,0.4330961165679785,0.3131846100125892,0.6310937776377469,0.1201808146380335,0.4377092483917697,0.4507572606359552,0.4052519614660617,0.9540555480532602,0.2988321402894534,0.511657646182841,0.7554699855813196,0.6896835787572357,0.3046025518513916,0.3256645688967021,0.7653919560363214,0.7066104769412553,0.4906328844055427,0.7996036812238039,0.1237905923974356,0.4415054665063185,0.4984118390445295
This can't work.,0.2365796591372675,1.1102230246251563e-16,0.3884106349012506,0.4229329329313602,0.4416331158678389,0.269521712026017,0.493925033530439,0.3393018796929224,0.3290742517519904,0.9036834282548556,0.4346988922202076,0.5647177330129081,0.8286787372172002,0.7887688967973341,0.4391879635645586,0.3547016229764195,0.8552400809975385,0.7588366945840768,0.7053401622385278,0.8746039645780912,0.2781795807792887,0.3442090904771266,0.331983453849371
This will never work.,0.4330961165679785,0.3884106349012506,-2.220446049250313e-16,0.4128819524573456,0.6652110575938976,0.4522013264069182,0.5553612810788363,0.3226876445151626,0.2971294344781969,0.9624506074727768,0.4271284059353286,0.6166020018421994,0.8253244195805943,0.7318925216003263,0.4589860525179935,0.519207480399968,0.7955789096631196,0.7941586622589707,0.7854719774526333,0.8308108058072143,0.5007311897389319,0.346229562753956,0.4327176158023464
This might not really work.,0.3131846100125892,0.4229329329313602,0.4128819524573456,0.0,0.6863309711743767,0.3045019786407906,0.2360503389062365,0.4115354654424931,0.1642714490617909,0.9761668084557208,0.1480295485669741,0.594327286535092,0.8009516610016139,0.8312429364067735,0.2193523210061332,0.4221362984100894,0.8883693953328081,0.8218332324443114,0.753526204671555,0.9100052121904316,0.3728322976829606,0.4068555878752464,0.4780274228146457
This computer doesn't work.,0.6310937776377469,0.4416331158678389,0.6652110575938976,0.6863309711743767,1.1102230246251563e-16,0.6540092260087131,0.7852290994943911,0.5058783306960272,0.6122026637579717,0.9001689111543886,0.7296063907573649,0.7567707071173051,1.01639094379155,0.9132041546758438,0.7533374961414816,0.6420286593149422,0.997248944366861,0.8634340302545997,0.9051953770099448,1.0384962550158925,0.6512759605790472,0.5050580335348737,0.4692683238074825
This couldn't really work.,0.1201808146380335,0.269521712026017,0.4522013264069182,0.3045019786407906,0.6540092260087131,0.0,0.4677120314370591,0.5259339258690947,0.2968081603501606,0.9364534147949092,0.2163899802652409,0.4485533215957326,0.6372127472275159,0.6295361663354788,0.3168126106684188,0.3323120478751038,0.7037299347760626,0.6458951456142441,0.5071052750925977,0.7592966330191706,0.1149699414655691,0.5438114520629649,0.517012221219032
This just might work.,0.4377092483917697,0.493925033530439,0.5553612810788363,0.2360503389062365,0.7852290994943911,0.4677120314370591,2.220446049250313e-16,0.5414031874672549,0.3955736720215934,0.9028606824109494,0.29215071138372,0.7099066223247306,0.7324871944532859,0.9230359185686644,0.2835936419486542,0.5584636805953631,0.8591302152104482,0.9220823556844902,0.8632060681162388,0.8668668021675154,0.4866886975938629,0.5417351279373794,0.5282585617418903
This won't fail to work.,0.4507572606359552,0.3393018796929224,0.3226876445151626,0.4115354654424931,0.5058783306960272,0.5259339258690947,0.5414031874672549,0.0,0.3118089308426022,0.9256165990393644,0.4448304502230263,0.6341638361997947,0.8626933748432156,0.8206659022175959,0.42771252254805,0.5002342265524533,0.8852111927785524,0.8032903930327565,0.825413020300422,0.8542013247735926,0.5112606513735998,0.2388682899401806,0.4137568430559463
This won't really work.,0.4052519614660617,0.3290742517519904,0.2971294344781969,0.1642714490617909,0.6122026637579717,0.2968081603501606,0.3955736720215934,0.3118089308426022,0.0,0.9603408383772613,0.1799017167279957,0.5727751543760768,0.7667591034040034,0.7860988444383081,0.3028505956407699,0.4518008844115483,0.8777178034984232,0.7881376664479415,0.8220246442595778,0.869773962145013,0.4249491086159984,0.3386633871086455,0.3989702227596423
This cat is doing some work.,0.9540555480532602,0.9036834282548556,0.9624506074727768,0.9761668084557208,0.9001689111543886,0.9364534147949092,0.9028606824109494,0.9256165990393644,0.9603408383772613,-2.220446049250313e-16,0.9538329293923944,0.8839106105176249,0.7755826509983015,0.7866459106663518,0.9510714243460378,0.9568500077748828,0.734322537961182,0.6304798557117388,0.8285665205511722,0.7585433075702864,0.9238500842035356,0.9549693361875944,0.9331812752980396
This wouldn't really work.,0.2988321402894534,0.4346988922202076,0.4271284059353286,0.1480295485669741,0.7296063907573649,0.2163899802652409,0.29215071138372,0.4448304502230263,0.1799017167279957,0.9538329293923944,1.1102230246251563e-16,0.5223363439665257,0.7727196507882741,0.7942787184292418,0.0945115942475651,0.442497460832169,0.8510194902896941,0.7758570716412153,0.7329699468788637,0.8751509180174224,0.3273692133306201,0.4559883537711062,0.4969133157966369
This wasn't the right way to work.,0.511657646182841,0.5647177330129081,0.6166020018421994,0.594327286535092,0.7567707071173051,0.4485533215957326,0.7099066223247306,0.6341638361997947,0.5727751543760768,0.8839106105176249,0.5223363439665257,0.0,0.6388496468413988,0.6004420393076003,0.5116189284902637,0.4989985453621454,0.682257310811955,0.4912113656998988,0.621906169292602,0.6663045637061962,0.4142445341366226,0.6156937703689626,0.7136426252815492
This was a really good work.,0.7554699855813196,0.8286787372172002,0.8253244195805943,0.8009516610016139,1.01639094379155,0.6372127472275159,0.7324871944532859,0.8626933748432156,0.7667591034040034,0.7755826509983015,0.7727196507882741,0.6388496468413988,2.220446049250313e-16,0.471770933056878,0.8016077274361848,0.7363868503737675,0.3238758174255722,0.669345588731256,0.5749723586920163,0.2458739509222434,0.6673051017136078,0.8620022517223265,0.8371242388044995
This wasn't my greatest work.,0.6896835787572357,0.7887688967973341,0.7318925216003263,0.8312429364067735,0.9132041546758438,0.6295361663354788,0.9230359185686644,0.8206659022175959,0.7860988444383081,0.7866459106663518,0.7942787184292418,0.6004420393076003,0.471770933056878,4.440892098500626e-16,0.8186891606644987,0.7543323058374295,0.1370169039718934,0.5074060688191668,0.3722470340048693,0.4915140650906323,0.6353130167904363,0.8766435350283459,0.8885630361906277
This wouldn't quite work.,0.3046025518513916,0.4391879635645586,0.4589860525179935,0.2193523210061332,0.7533374961414816,0.3168126106684188,0.2835936419486542,0.42771252254805,0.3028505956407699,0.9510714243460378,0.0945115942475651,0.5116189284902637,0.8016077274361848,0.8186891606644987,0.0,0.4499979748850642,0.8823742450250107,0.7796083449711346,0.753818322622291,0.8378509349487182,0.2471845387165716,0.4197458725023784,0.5049321209100645
This couldn't help them work.,0.3256645688967021,0.3547016229764195,0.519207480399968,0.4221362984100894,0.6420286593149422,0.3323120478751038,0.5584636805953631,0.5002342265524533,0.4518008844115483,0.9568500077748828,0.442497460832169,0.4989985453621454,0.7363868503737675,0.7543323058374295,0.4499979748850642,-4.440892098500626e-16,0.8129405597612271,0.659663949395697,0.6884231859167311,0.781293059998935,0.3134466121684727,0.5236712111849431,0.553350593876547
This was my greatest work.,0.7653919560363214,0.8552400809975385,0.7955789096631196,0.8883693953328081,0.997248944366861,0.7037299347760626,0.8591302152104482,0.8852111927785524,0.8777178034984232,0.734322537961182,0.8510194902896941,0.682257310811955,0.3238758174255722,0.1370169039718934,0.8823742450250107,0.8129405597612271,1.1102230246251563e-16,0.6203570601154975,0.4525639832291964,0.3755350349923039,0.7331547199387153,0.9137119648987856,0.9022350615290948
This wasn't the dog's work.,0.7066104769412553,0.7588366945840768,0.7941586622589707,0.8218332324443114,0.8634340302545997,0.6458951456142441,0.9220823556844902,0.8032903930327565,0.7881376664479415,0.6304798557117388,0.7758570716412153,0.4912113656998988,0.669345588731256,0.5074060688191668,0.7796083449711346,0.659663949395697,0.6203570601154975,4.440892098500626e-16,0.5117830754109044,0.6326577859772395,0.6252312174856223,0.8514012218864137,0.9137220477588543
This couldn't have been my own work.,0.4906328844055427,0.7053401622385278,0.7854719774526333,0.753526204671555,0.9051953770099448,0.5071052750925977,0.8632060681162388,0.825413020300422,0.8220246442595778,0.8285665205511722,0.7329699468788637,0.621906169292602,0.5749723586920163,0.3722470340048693,0.753818322622291,0.6884231859167311,0.4525639832291964,0.5117830754109044,2.220446049250313e-16,0.5987657801881567,0.4956998347023938,0.8687456590168279,0.903392513507101
This was an excellentl piece of work.,0.7996036812238039,0.8746039645780912,0.8308108058072143,0.9100052121904316,1.0384962550158925,0.7592966330191706,0.8668668021675154,0.8542013247735926,0.869773962145013,0.7585433075702864,0.8751509180174224,0.6663045637061962,0.2458739509222434,0.4915140650906323,0.8378509349487182,0.781293059998935,0.3755350349923039,0.6326577859772395,0.5987657801881567,-2.220446049250313e-16,0.7133007263433879,0.8231377628839758,0.8934712076674453
This couldn't quite work.,0.1237905923974356,0.2781795807792887,0.5007311897389319,0.3728322976829606,0.6512759605790472,0.1149699414655691,0.4866886975938629,0.5112606513735998,0.4249491086159984,0.9238500842035356,0.3273692133306201,0.4142445341366226,0.6673051017136078,0.6353130167904363,0.2471845387165716,0.3134466121684727,0.7331547199387153,0.6252312174856223,0.4956998347023938,0.7133007263433879,0.0,0.5273286430170628,0.5400545719613887
This looks like it will not work.,0.4415054665063185,0.3442090904771266,0.346229562753956,0.4068555878752464,0.5050580335348737,0.5438114520629649,0.5417351279373794,0.2388682899401806,0.3386633871086455,0.9549693361875944,0.4559883537711062,0.6156937703689626,0.8620022517223265,0.8766435350283459,0.4197458725023784,0.5236712111849431,0.9137119648987856,0.8514012218864137,0.8687456590168279,0.8231377628839758,0.5273286430170628,3.3306690738754696e-16,0.362912101250989
This doesn't yet work.,0.4984118390445295,0.331983453849371,0.4327176158023464,0.4780274228146457,0.4692683238074825,0.517012221219032,0.5282585617418903,0.4137568430559463,0.3989702227596423,0.9331812752980396,0.4969133157966369,0.7136426252815492,0.8371242388044995,0.8885630361906277,0.5049321209100645,0.553350593876547,0.9022350615290948,0.9137220477588543,0.903392513507101,0.8934712076674453,0.5400545719613887,0.362912101250989,0.0
